ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
797518,FREEHOLD BIG CHUTES LAGER TA,FREEHOLD BREWING COMPANY,BEER,BEER,Lager,,11.15,473.0,5.58,Fruity,STRAW,0.4,CANADA,ALBERTA
798499,FREEHOLD LACY SAISY SAISON T,FREEHOLD BREWING COMPANY,BEER,BEER,,,11.15,473.0,5.75,,,0.4,CANADA,ALBERTA
648261,TENNENTS TALL CAN,LIQUID ART & SUPPLY CO. LTD.,BEER,BEER,,,1.95,500,5.0,,,0.1,UNITED KINGDOM,SCOTLAND
800639,URPINER EXTRA HOPPY 14 CRAFT,HILL'S LIQUERE (NORTH AMERICA) INC.,BEER,BEER,Lager,,2.11,500,6.0,Heat-Induced,STRAW,0.1,SLOVAKIA,
736638,15 CAN ALBERTA GENUINE DRAFT,BIG ROCK BREWERY,BEER,BEER,,,21.87,355.0,5.0,,,1.5,CANADA,ALBERTA
756031,1664 BLANC - 6 PACK CANS,CARLSBERG CANADA INC.,BEER,BEER,,,12.99,330.0,5.0,,,0.6,FRANCE,ALSACE
776497,187 ON AN UNDERCOVER HOP IMPERIAL IPA,49TH PARALLEL GROUP INC.,BEER,BEER,,,5.49,650,10.0,,,0.1,CANADA,BRITISH COLUMBIA
1143806,1905 LAGER 3X8,MCBSW SALES COMPANY INC.,BEER,BEER,,,8.17,355.0,5.0,,,0.8,CANADA,ALBERTA
1143807,1905 PILSNER 3X8,MCBSW SALES COMPANY INC.,BEER,BEER,,,8.17,355.0,5.0,,,0.8,CANADA,ALBERTA
774625,1919 PALE RAIL BREW CONCENTRATE,GARRY'S OUTDOOR ACTIVITIES (WEST) LTD.,BEER,BEER,,,15.21,50.0,49.0,,,0.4,UNITED STATES,COLORADO
797946,1ST RND FIRESIDE WINTER ALE,GP BREWING CO.,BEER,BEER,,,168.61,50000,6.0,,,30.0,CANADA,ALBERTA
794175,1ST RND HEF CLS,GP BREWING CO.,BEER,BEER,,,177.96,58674,5.0,,,30.0,CANADA,ALBERTA
798837,1ST RND IPA 50.0L CLS,GP BREWING CO.,BEER,BEER,,,156.0,50000,5.0,,,30.0,CANADA,ALBERTA
794176,1ST RND IPA CLS,GP BREWING CO.,BEER,BEER,,,177.96,58674,5.0,,,30.0,CANADA,ALBERTA
794177,1ST RND LIGHT CLS,GP BREWING CO.,BEER,BEER,,,157.95,58674,4.0,,,30.0,CANADA,ALBERTA
794178,1ST RND RADLER CLS,GP BREWING CO.,BEER,BEER,,,177.96,58674,2.9,,,30.0,CANADA,ALBERTA
785630,2016 BREWER'S ADVENT CALENDAR,UNITED DISTRIBUTORS,BEER,BEER,,,72.78,500.0,5.43,,,2.4,GERMANY,OTHER (GERMAN)
795426,2017 BREWER'S ADVENT CALENDAR,UNITED DISTRIBUTORS,BEER,BEER,,,77.29,500.0,5.37,,,2.4,GERMANY,OTHER (GERMAN)
