ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
699389,MAGNERS ORIGINAL IRISH CIDER,LIQUID ART & SUPPLY CO. LTD.,CIDER,,,,10.54,500,4.5,,,0.4,IRELAND,
358218,MAGNERS PEAR IRISH CIDER,LIQUID ART & SUPPLY CO. LTD.,CIDER,,,,10.31,500,4.5,,,0.4,IRELAND,
776461,2 TOWNS CIDERHOUSE BRIGHT CIDER,ALLEN BRANDS INC.,CIDER,,,,8.15,355,6,,,0.4,UNITED STATES,OREGON
777429,2 TOWNS CIDERHOUSE CHERRIED AWAY,ALLEN BRANDS INC.,CIDER,,,,5.43,500,6,,,0.1,UNITED STATES,OREGON
776462,2 TOWNS CIDERHOUSE OUTCIDER,ALLEN BRANDS INC.,CIDER,,,,8.15,355,6,,,0.4,UNITED STATES,OREGON
777222,ACE PINEAPPLE HARD CIDER,UNITED DISTRIBUTORS,CIDER,,,,17.85,355,5,,,0.6,UNITED STATES,CALIFORNIA
777215,ACE PUMPKIN CIDER,UNITED DISTRIBUTORS,CIDER,,,,17.85,355,5,,,0.6,UNITED STATES,CALIFORNIA
764812,ANGRY ORCHARD CRISP APPLE,MOOSEHEAD BREWERIES LIMITED,CIDER,,,,12.81,355,5,,,0.6,UNITED STATES,MASSACHUSETTS
795387,ANGRY ORCHARD CRISP APPLE 473ML CAN,MOOSEHEAD BREWERIES LIMITED,CIDER,,,,2.88,473,5,,,0.1,UNITED STATES,NEW YORK
765352,ANGRY ORCHARD CRISP APPLE CIDER,MOOSEHEAD BREWERIES LIMITED,CIDER,,,,106.42,19500,5,,,0,UNITED STATES,MASSACHUSETTS
766822,ANGRY ORCHARD ICEMAN,MOOSEHEAD BREWERIES LIMITED,CIDER,,,,14.1,750,10,,,0.1,UNITED STATES,MASSACHUSETTS
766823,ANGRY ORCHARD MUSE,MOOSEHEAD BREWERIES LIMITED,CIDER,,,,11.97,750,7.7,,,0.1,UNITED STATES,MASSACHUSETTS
766821,ANGRY ORCHARD STRAWMAN,MOOSEHEAD BREWERIES LIMITED,CIDER,,,,14.1,750,10,,,0.1,UNITED STATES,MASSACHUSETTS
790865,ARTISAN PEAR CIDER BRITTANY,NOBILIS WINE IMPORTERS LTD.,CIDER,,,,9.9,750,4,,,0.1,FRANCE,OTHER (FRENCH)
795527,AVALANCHE RECOLTE HIVERNALE,HAUS WINES,CIDER,,,,26.99,200,11.5,,,0.1,CANADA,QUEBEC
762020,BORDELET BRUT,CRIMSON IMPORTS,CIDER,,,,9.98,750,6.5,,,0.1,FRANCE,OTHER (FRENCH)
1115404,BORDELET BRUT TENDRE,CRIMSON IMPORTS,CIDER,,,,12.19,750,4,,,0.1,FRANCE,OTHER (FRENCH)
789089,BRICKWORKS CIDERHOUSE BATCH 1904 50L KEG,LABATT ALBERTA BREWERY,CIDER,,,,284.15,50000,5,,,30,CANADA,ONTARIO
889782,BROKEN LADDER APPLE CIDER,APPELLATION WINE MARKETING LTD.,CIDER,,,,11.49,473,5.2,,,0.4,CANADA,BRITISH COLUMBIA
780978,BROKEN LADDER APPLE CIDER KEG,APPELLATION WINE MARKETING LTD.,CIDER,,,,109.99,20000,5.2,,,0.25,CANADA,BRITISH COLUMBIA
42382,BROKEN LADDER APPLES AND HOPS CIDER,APPELLATION WINE MARKETING LTD.,CIDER,,,,11.49,473,6,,,0.4,CANADA,BRITISH COLUMBIA
791806,BROKEN LADDER PEARS AND PEACHES CIDER,APPELLATION WINE MARKETING LTD.,CIDER,,,,11.49,473,4.3,,,0.4,CANADA,BRITISH COLUMBIA
793988,BULWARK 7 SHORES PEACH VANILLA BEAN,CRAFT BEER IMPORTERS CANADA INC.,CIDER,,,,5.1,500,4.8,,,0.1,CANADA,NOVA SCOTIA
793989,BULWARK 7 SHORES STRAWBERRY LIME,CRAFT BEER IMPORTERS CANADA INC.,CIDER,,,,1.56,500,4.8,,,0.1,CANADA,NOVA SCOTIA
766181,BULWARK BLUSH CIDER,CRAFT BEER IMPORTERS CANADA INC.,CIDER,,,,5.69,500,4.5,,,0.1,CANADA,NOVA SCOTIA
767168,BULWARK BLUSH CIDER 30L KEG,CRAFT BEER IMPORTERS CANADA INC.,CIDER,,,,234.45,30000,4.5,,,0.25,CANADA,NOVA SCOTIA
755053,BULWARK ORIGINAL CRAFT CIDER,CRAFT BEER IMPORTERS CANADA INC.,CIDER,,,,5.69,500,5.8,,,0.1,CANADA,NOVA SCOTIA
767144,BULWARK ORIGINAL CRAFT CIDER,CRAFT BEER IMPORTERS CANADA INC.,CIDER,,,,227.1,30000,5.8,,,0.25,CANADA,NOVA SCOTIA
1135317,CECILLON NERIOS CIDRE,CRIMSON IMPORTS,CIDER,,,,14.37,750,7.5,,,0.1,FRANCE,OTHER (FRENCH)
548099,CENTRAL CITY LIMITED ED IMPERIAL CIDER,CENTRAL CITY BREWERS & DISTILLERS LTD.,CIDER,,,,12.79,750,10.9,,,0.1,CANADA,BRITISH COLUMBIA
69153,CIDER RIOT! EVERYBODY POGO,COPPER AND THEORY ARTISAN BEER SUPPLY,CIDER,,,,7.74,500,6.7,,,0.1,UNITED STATES,OREGON
773159,CIDRE ARTISANAL BRETON BIGOUD,NOBILIS WINE IMPORTERS LTD.,CIDER,,,,8.49,750,5.5,,,0.1,FRANCE,OTHER (FRENCH)
773158,CIDRE ARTISANAL BRETON BIGOUD ORGANIC,NOBILIS WINE IMPORTERS LTD.,CIDER,,,,9.95,750,4,,,0.1,FRANCE,OTHER (FRENCH)
790864,CIDRE ARTISANAL BRETON BIGOUD ROSE,NOBILIS WINE IMPORTERS LTD.,CIDER,,,,9.95,750,4,,,0.1,FRANCE,OTHER (FRENCH)
773157,CIDRE ARTISANAL BRETON BIGOUD VINTAGE,NOBILIS WINE IMPORTERS LTD.,CIDER,,,,13.1,750,7,,,0.1,FRANCE,OTHER (FRENCH)
779570,CIDRE BRUT DE NORMANDIE (PASTEURISED),SEACOVE GROUP,CIDER,,,,9.74,750,4.5,,,0.1,FRANCE,OTHER (FRENCH)
773592,CIDRE KINKIZ,FLYING WINES,CIDER,,,,11.99,750,5,,,0.1,FRANCE,OTHER (FRENCH)
879205,CORNISH GOLD APPLE CIDER,PREMIER BRANDS  LTD.,CIDER,,,,328.13,50000,4.5,,,30,UNITED KINGDOM,ENGLAND
781345,CRACKED APPLE CIDER WITH SPICED RUM,RIVER VALLEY BEVERAGE,CIDER,,,,2,500,5.5,,,0.1,UNITED KINGDOM,ENGLAND
781344,CRACKED APPLE CIDER WITH TEQUILA & LIME,RIVER VALLEY BEVERAGE,CIDER,,,,2,500,5.5,,,0.1,UNITED KINGDOM,ENGLAND
784169,DARK & DRY APPLE CIDER,DELANCEY DIRECT INCORPORATED,CIDER,,,,16.96,355,5,,,0.6,UNITED STATES,WASHINGTON
751196,DARRAGON DIT LAFRANCE CIDER,UNITED DISTRIBUTORS,CIDER,,,,11.34,750,6.5,,,0.1,CANADA,QUEBEC
764535,DUBLIN'S PUB IRISH CIDER,ICON FINE WINE AND SPIRITS,CIDER,,,,8.65,355,5,,,0.4,CANADA,QUEBEC
770004,DUBLIN'S PUB IRISH CIDER KEG,ICON FINE WINE AND SPIRITS,CIDER,,,,158,30000,5,,,0.25,CANADA,QUEBEC
764493,DUBLIN'S PUB RED HARD CIDER,ICON FINE WINE AND SPIRITS,CIDER,,,,8.65,355,5,,,0.4,CANADA,QUEBEC
785738,DUCHE LONGUEVILLE ANTOINETTE,PLAID CAP IMPORTS,CIDER,,,,10.98,750,5,,RED,0.1,FRANCE,BORDEAUX
