ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
730518,ALIVE GRAPEFRUIT,KIRKWOOD DIAMOND CANADA,COOLER,LIQUOR,LIQUOR,,9.1,300,5,,,0.4,NEW ZEALAND,
771340,ALIVE ICED TEA,KIRKWOOD DIAMOND CANADA,COOLER,LIQUOR,LIQUOR,,9.1,300,5,,,0.4,NEW ZEALAND,
503318,ALIVE LEMON LIME,KIRKWOOD DIAMOND CANADA,COOLER,LIQUOR,LIQUOR,,9.1,300,5,,,0.4,NEW ZEALAND,
152033,ALIVE MIXED BERRY,KIRKWOOD DIAMOND CANADA,COOLER,LIQUOR,LIQUOR,,9.1,300,5,,,0.4,NEW ZEALAND,
790173,AMERICAN VINTAGE GREEN TEA,RTD CANADA INC.,COOLER,LIQUOR,LIQUOR,,11.05,355,5,,,0.6,CANADA,BRITISH COLUMBIA
769842,AMERICAN VINTAGE HARD ICED TEA LEMON 6PK,RTD CANADA INC.,COOLER,LIQUOR,LIQUOR,,11.05,355,5,,,0.6,CANADA,BRITISH COLUMBIA
769843,AMERICAN VINTAGE HARD ICED TEA LEMON12PK,RTD CANADA INC.,COOLER,LIQUOR,LIQUOR,,23,355,5,,,1.2,CANADA,BRITISH COLUMBIA
771465,AMERICAN VINTAGE HARD ICED TEA VARIETY,RTD CANADA INC.,COOLER,LIQUOR,LIQUOR,,23.15,355,5,,,1.2,CANADA,BRITISH COLUMBIA
771464,AMERICAN VINTAGE HARD PEACH ICED TEA,RTD CANADA INC.,COOLER,LIQUOR,LIQUOR,,11.05,355,5,,,0.6,CANADA,BRITISH COLUMBIA
790513,AMERICAN VINTAGE ICED TEA MIXER PACK,RTD CANADA INC.,COOLER,LIQUOR,LIQUOR,,23,355,5,,,1.2,CANADA,BRITISH COLUMBIA
779544,AMERICAN VINTAGE ICED TEA RASPBERRY,RTD CANADA INC.,COOLER,LIQUOR,LIQUOR,,11.05,355,5,,,0.6,CANADA,BRITISH COLUMBIA
785134,APPLE AHH RITA BY BUD LIME,LABATT ALBERTA BREWERY,COOLER,OTH FERMNTD BEV,OTHER,,18.42,236,6,,,1.2,CANADA,QUEBEC
549469,ARBOR MIST - BLACKBERRY MERLOT,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,CALIFORNIA
577080,ARBOR MIST - BLACKBERRY MERLOT,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,10.6,1500,6,,,0.25,UNITED STATES,CALIFORNIA
512996,ARBOR MIST - PEACH CHARDONNAY,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,CALIFORNIA
549345,ARBOR MIST - PEACH CHARDONNAY,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,10.6,1500,6,,,0.25,UNITED STATES,CALIFORNIA
533471,ARBOR MIST - SANGRIA - ZINFANDEL,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,CALIFORNIA
533489,ARBOR MIST - TROPICAL FRUIT - CHARDONNAY,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,CALIFORNIA
762777,ARBOR MIST FROZEN COCKTAIL PINA COLADA,VINCOR INTERNATIONAL INC.,COOLER,LIQUOR,LIQUOR,,2.46,296,5,,,0.1,UNITED STATES,NEW YORK
762778,ARBOR MIST FROZEN COCKTAIL STRAWBERRY DA,VINCOR INTERNATIONAL INC.,COOLER,LIQUOR,LIQUOR,,2.46,296,5,,,0.1,UNITED STATES,NEW YORK
762779,ARBOR MIST FROZENCOCKTAIL LIME MARGARITA,VINCOR INTERNATIONAL INC.,COOLER,LIQUOR,LIQUOR,,2.46,296,5,,,0.1,UNITED STATES,NEW YORK
762834,ARBOR MIST PEACH MOSCATO,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,NEW YORK
756180,ARBOR MIST PINK RASPBERRY MOSCATO,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,NEW YORK
743692,ARBOR MIST POMEGRANATE BERRY PINOT NOIR,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,NEW YORK
748883,ARBOR MIST STRAWBERRY MANGO MOSCATO,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,NEW YORK
743693,ARBOR MIST WHITE PEAR PINOT GRIGIO,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,NEW YORK
512988,ARBOR MIST-EXOTIC FRUITS-WHITE ZINFANDEL,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,CALIFORNIA
549329,ARBOR MIST-EXOTIC FRUITS-WHITE ZINFANDEL,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,10.6,1500,6,,,0.25,UNITED STATES,CALIFORNIA
512970,ARBOR MIST-STRAWBERRY-WHITE ZINFANDEL,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,6.2,750,6,,,0.1,UNITED STATES,CALIFORNIA
549337,ARBOR MIST-STRAWBERRY-WHITE ZINFANDEL,VINCOR INTERNATIONAL INC.,COOLER,WINE,WINE,,10.6,1500,6,,,0.25,UNITED STATES,CALIFORNIA
774109,BACARDI OAKHEART & COLA 473 ML,BACARDI CANADA INC.,COOLER,LIQUOR,LIQUOR,,2.55,473,7,,,0.1,CANADA,ONTARIO
793353,BARON ARTISANAL ROOT BEER,PURE GLOBAL IMPORTS INC.,COOLER,OTH FERMNTD BEV,OTHER,,13.29,355,5.9,,,0.6,CANADA,QUEBEC
740718,BARTLES & JAYMES EXOTIC BERRY,E & J GALLO WINERY CANADA LTD.,COOLER,OTH FERMNTD BEV,OTHER,,8.45,331,3.2,,,0.4,UNITED STATES,CALIFORNIA
740713,BARTLES & JAYMES FUZZY NAVEL,E & J GALLO WINERY CANADA LTD.,COOLER,OTH FERMNTD BEV,OTHER,,8.45,331,3.2,,,0.4,UNITED STATES,CALIFORNIA
740712,BARTLES & JAYMES MARGARITA,E & J GALLO WINERY CANADA LTD.,COOLER,OTH FERMNTD BEV,OTHER,,8.45,331,4,,,0.4,UNITED STATES,CALIFORNIA
740716,BARTLES & JAYMES MOJITO,E & J GALLO WINERY CANADA LTD.,COOLER,OTH FERMNTD BEV,OTHER,,8.45,331,4,,,0.4,UNITED STATES,CALIFORNIA
740714,BARTLES & JAYMES PINA COLADA,E & J GALLO WINERY CANADA LTD.,COOLER,OTH FERMNTD BEV,OTHER,,8.45,331,3.2,,,0.4,UNITED STATES,CALIFORNIA
740717,BARTLES & JAYMES SANGRIA,E & J GALLO WINERY CANADA LTD.,COOLER,OTH FERMNTD BEV,OTHER,,8.45,331,4,,,0.4,UNITED STATES,CALIFORNIA
740715,BARTLES & JAYMES STRAWBERRY DAIQUIRI,E & J GALLO WINERY CANADA LTD.,COOLER,OTH FERMNTD BEV,OTHER,,8.45,331,4,,,0.4,UNITED STATES,CALIFORNIA
689828,BETTY'S VODKA PEACH ICED TEA,CENTRAL CITY BREWERS & DISTILLERS LTD.,COOLER,LIQUOR,LIQUOR,,9.45,355,5,,,0.6,CANADA,BRITISH COLUMBIA
773232,BETTY'S VODKA RASPBERRY ICED TEA,CENTRAL CITY BREWERS & DISTILLERS LTD.,COOLER,LIQUOR,LIQUOR,,9.45,355,5,,,0.6,CANADA,BRITISH COLUMBIA
776475,BEVE POMELO ORANGE,DIAGEO CANADA INC.,COOLER,LIQUOR,LIQUOR,,10.67,355,5,,,0.6,CANADA,QUEBEC
792535,BINGTANBOK,COBEES ENTERPRISE LTD.,COOLER,WINE,WINE,,6.49,370,7,,,0.1,KOREA (REPUBLIC OF),
781113,BLACK FLY GRAPE SOUR,BLACK FLY BEVERAGE COMPANY INC.,COOLER,LIQUOR,LIQUOR,,2.65,473,7,,,0.1,CANADA,ONTARIO
771360,BLACK FLY LONG ISLAND ICED TEA,BLACK FLY BEVERAGE COMPANY INC.,COOLER,LIQUOR,LIQUOR,,9.55,400,7,,,0.4,CANADA,ONTARIO
771357,BLACK FLY TEQUILA MARGARITA,BLACK FLY BEVERAGE COMPANY INC.,COOLER,LIQUOR,LIQUOR,,9.55,400,7,,,0.4,CANADA,ONTARIO
771363,BLACK FLY VODKA CRANBERRY MIXED DRINK,BLACK FLY BEVERAGE COMPANY INC.,COOLER,LIQUOR,LIQUOR,,9.55,400,7,,,0.4,CANADA,ONTARIO
781115,BLACK FLY VODKA GRAPEFRUIT,BLACK FLY BEVERAGE COMPANY INC.,COOLER,LIQUOR,LIQUOR,,9.55,400,7,,,0.4,CANADA,ONTARIO
789295,BLACK FLY VODKA SOUR RASPBERRY,BLACK FLY BEVERAGE COMPANY INC.,COOLER,LIQUOR,LIQUOR,,2.65,473,7,,,0.1,CANADA,ONTARIO
776511,BLACK FLY WHISKY SOUR,BLACK FLY BEVERAGE COMPANY INC.,COOLER,LIQUOR,LIQUOR,,1.84,473,7,,,0.1,CANADA,ONTARIO
767384,BLING PINK SPARKLING WINE IN A CAN,SOUTH BY SOUTHWEST WINE IMPORTS INC.,COOLER,WINE,WINE,,16.81,355,8,,,0.6,CANADA,BRITISH COLUMBIA
302141,BLING SPARKLING WHITE WINE IN A CAN,SOUTH BY SOUTHWEST WINE IMPORTS INC.,COOLER,WINE,WINE,,16.81,355,8,,,0.6,CANADA,BRITISH COLUMBIA
419317,BOONE'S SANGRIA,E & J GALLO WINERY CANADA LTD.,COOLER,WINE,WINE,,3.49,750,6.5,,,0.1,UNITED STATES,CALIFORNIA
363689,BOONE'S SNOW CREEK BERRY,E & J GALLO WINERY CANADA LTD.,COOLER,WINE,WINE,,3.49,750,5,,,0.1,UNITED STATES,CALIFORNIA
279158,BOONE'S STRAWBERRY HILL,E & J GALLO WINERY CANADA LTD.,COOLER,WINE,WINE,,3.49,750,7.5,,,0.1,UNITED STATES,CALIFORNIA
363697,BOONE'S SUN PEAK PEACH,E & J GALLO WINERY CANADA LTD.,COOLER,WINE,WINE,,3.49,750,5,,,0.1,UNITED STATES,CALIFORNIA
363671,BOONE'S TROPICAL,E & J GALLO WINERY CANADA LTD.,COOLER,WINE,WINE,,3.49,750,5,,,0.1,UNITED STATES,CALIFORNIA
