ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
776820,CARIBOU IN BOND,TANDEM WINE SELECTION INC.,WINE -- LIQUEUR,LIQUEUR TYPE,,,17.96,750,22.9,,,0.1,CANADA,QUEBEC
796812,GRAN BARQUERO FINO,CHRISTOPHER STEWART WINE & SPIRITS INC.,WINE -- LIQUEUR,LIQUEUR TYPE,,,18.71,750,15,,WHITE,0.1,SPAIN,OTHER (SPANISH)
590737,SEOL JOONG MAE : PLUM WINE,COBEES ENTERPRISE LTD.,WINE -- LIQUEUR,LIQUEUR TYPE,,,8.36,375,14,,,0.1,KOREA (REPUBLIC OF),
796700,TORO ALBALA AMONTILLADO SOLERA 1922,CHRISTOPHER STEWART WINE & SPIRITS INC.,WINE -- LIQUEUR,LIQUEUR TYPE,,,28.03,500,21,,WHITE,0.1,SPAIN,OTHER (SPANISH)
796701,TORO ALBALA DON PX CONVENTO SELECCION,CHRISTOPHER STEWART WINE & SPIRITS INC.,WINE -- LIQUEUR,LIQUEUR TYPE,,,271.41,750,18,,RED,0.1,SPAIN,OTHER (SPANISH)
222133,TORO ALBALA DON PX VIEJA COSECHA,CHRISTOPHER STEWART WINE & SPIRITS INC.,WINE -- LIQUEUR,LIQUEUR TYPE,,,111.64,750,17,,RED,0.1,SPAIN,OTHER (SPANISH)
796699,TORO ALBALA ELECTRICO BOMBILLA FINO RAMA,CHRISTOPHER STEWART WINE & SPIRITS INC.,WINE -- LIQUEUR,LIQUEUR TYPE,,,23.74,750,15,,WHITE,0.1,SPAIN,OTHER (SPANISH)
187088,PANAMA JACK'S IRISH CREAM,ANDREW PELLER LIMITED,WINE -- LIQUEUR,LIQUEUR TYPE,,,14.98,750,17,,,0.1,CANADA,ONTARIO
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
