ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
733257,1921 CREAM OF TEQUILA,WESTWAY LIQUORS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,CREAM,,25.39,750,15.0,,,0.1,MEXICO,
771225,1921 CREAM OF TEQUILA IRRESISTIBLE,WESTWAY LIQUORS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,CREAM,,21.99,750,15.0,,,0.1,MEXICO,
777486,24 CARROT LIQUEUR,TOP OF MY GLASS HOLDINGS INC.,SPIRITS -- LIQUEUR,LIQUEUR,OTHER,,29.97,500,24.0,,,0.1,NETHERLANDS,
787350,3 AMIGOS TEQUILA RAMONAS RESERVE LIQUEUR,3 AMIGOS TEQUILA CANADA LTD.,SPIRITS -- LIQUEUR,LIQUEUR,OTHER,,76.24,750,30.0,,,0.1,MEXICO,
763162,ABSTRACT AMARETTO LIQUEUR 6 X 750,HIGHWOOD DISTILLERS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,15.45,750,22.0,,,0.1,CANADA,ALBERTA
763173,ABSTRACT APRICOT BRANDY LIQUEUR 6 X 750,HIGHWOOD DISTILLERS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,APRICOT,,15.45,750,22.0,,,0.1,CANADA,ALBERTA
722853,ABSTRACT BANANA,HIGHWOOD DISTILLERS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,FRUIT/BERRY,,15.45,750,16.0,,,0.1,CANADA,ALBERTA
722855,ABSTRACT BLUE CURACO,HIGHWOOD DISTILLERS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,FRUIT/BERRY,,15.45,750,16.0,,,0.1,CANADA,ALBERTA
779037,ABSTRACT BUTTERSCOTCH LIQUEUR 6 X 750,HIGHWOOD DISTILLERS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,OTHER,,15.45,750,16.0,,,0.1,CANADA,ALBERTA
763169,ABSTRACT CREME DE CACAO LIQUEUR 6 X 750,HIGHWOOD DISTILLERS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,CHOCOLATE,,15.45,750,22.0,,,0.1,CANADA,ALBERTA
763174,ABSTRACT PEACH LIQUEUR 6 X 750,HIGHWOOD DISTILLERS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,SCHNAPPS,,15.45,750,22.0,,,0.1,CANADA,ALBERTA
763172,ABSTRACT SAMBUCA LIQUEUR 6 X 750,HIGHWOOD DISTILLERS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,LICORICE,,17.4,750,38.0,,,0.1,CANADA,ALBERTA
755767,ACCADEMIA AMARETTO,MAGNUM CONSULTANTS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,31.5,1000,24.0,,,0.1,ITALY,VENETO
755769,ACCADEMIA LIMONCELLO,MAGNUM CONSULTANTS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,FRUIT/BERRY,,26.5,700,30.0,,,0.1,ITALY,VENETO
755768,ACCADEMIA NOCCIOLATA,MAGNUM CONSULTANTS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,CHOCOLATE,,26.99,700,17.0,,,0.1,ITALY,VENETO
747060,AGAVERO ORANGE LIQUEUR,PROXIMO SPIRITS CANADA  INC.,SPIRITS -- LIQUEUR,LIQUEUR,ORANGE,,26.88,750,32.0,,,0.1,MEXICO,
748183,AGAVERO TEQUILA LIQUEUR,PROXIMO SPIRITS CANADA  INC.,SPIRITS -- LIQUEUR,LIQUEUR,OTHER,,26.91,750,32.0,,,0.1,MEXICO,
747432,AGUARDIENTE ANTIOQUENO,PLANET STEEL INC.,SPIRITS -- LIQUEUR,LIQUEUR,HERB,,26.02,750,29.0,,,0.1,COLOMBIA,
747433,AGUARDIENTE ANTIOQUENO SIN AZUCAR,PLANET STEEL INC.,SPIRITS -- LIQUEUR,LIQUEUR,HERB,,26.29,750,29.0,,,0.1,COLOMBIA,
745313,AGWA DE BOLIVIA LIQUEUR,RIVER VALLEY BEVERAGE,SPIRITS -- LIQUEUR,LIQUEUR,HERB,,24.05,750,30.0,,,0.1,NETHERLANDS,
736123,ALIZE BLEU,CHARTON-HOBBS INC.,SPIRITS -- LIQUEUR,LIQUEUR,FRUIT/BERRY,,21.27,750,14.9,,,0.1,FRANCE,OTHER (FRENCH)
430090,ALIZE GOLD,CHARTON-HOBBS INC.,SPIRITS -- LIQUEUR,LIQUEUR,FRUIT/BERRY,,21.27,750,14.9,,,0.1,FRANCE,OTHER (FRENCH)
769502,ALIZE MIXED PACK,CHARTON-HOBBS INC.,SPIRITS -- LIQUEUR,LIQUEUR,FRUIT/BERRY,,255.21,750.0,14.9,,,1.2,FRANCE,OTHER (FRENCH)
499517,ALIZE RED,CHARTON-HOBBS INC.,SPIRITS -- LIQUEUR,LIQUEUR,FRUIT/BERRY,,21.27,750,14.9,,,0.1,FRANCE,OTHER (FRENCH)
798037,AMARETTO DI SASCHIRA,SAVERIO SCHIRALLI AGENCIES LIMITED,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,30.4,1000,24.0,,,0.1,ITALY,VENETO
339358,AMARETTO DI SASCHIRA (LUXARDO),SAVERIO SCHIRALLI AGENCIES LIMITED,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,22.09,750,24.0,,,0.1,ITALY,OTHER (ITALY)
403485,AMARETTO DI SASCHIRA (LUXARDO),SAVERIO SCHIRALLI AGENCIES LIMITED,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,7.1,200,24.0,,,0.1,ITALY,OTHER (ITALY)
519447,AMARETTO DI SASCHIRA (LUXARDO),SAVERIO SCHIRALLI AGENCIES LIMITED,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,11.61,375,24.0,,,0.1,ITALY,OTHER (ITALY)
550921,AMARETTO DI SASCHIRA (LUXARDO),SAVERIO SCHIRALLI AGENCIES LIMITED,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,2.79,50,28.0,,,0.1,ITALY,OTHER (ITALY)
555748,AMARETTO DI SASCHIRA (LUXARDO),SAVERIO SCHIRALLI AGENCIES LIMITED,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,30.08,1140,24.0,,,0.25,ITALY,OTHER (ITALY)
787959,AMARETTO MARCATI (25%),VINTAGE INTERNATIONAL LIMITED,SPIRITS -- LIQUEUR,LIQUEUR,ALMOND,,21.27,700,25.0,,,0.1,ITALY,VENETO
775986,AMARO BLACK NOTE,GLOBAL WINE MERCHANTS,SPIRITS -- LIQUEUR,LIQUEUR,HERB,,20.83,700,21.0,,,0.1,ITALY,PIEDMONT
774768,AMARO FERROCHINA BALIVA,GLOBAL WINE MERCHANTS,SPIRITS -- LIQUEUR,LIQUEUR,HERB,,44.56,1000,21.0,,,0.1,ITALY,EMILIA - ROMAGNA
824383,AMARO PUNICO,SOVEREIGN WINE & SPIRITS LTD.,SPIRITS -- LIQUEUR,LIQUEUR,HERB,,31.22,700,30.0,,,0.1,ITALY,SICILY
795127,AMARO TOSOLINI,WHITEHALL AGENCIES INC.,SPIRITS -- LIQUEUR,LIQUEUR,HERB,,36.2,700,30.0,,RED,0.1,ITALY,FRIULI - VENEZIA - GUILIA
784323,AMARULA CREAM & GLASSWARE PACK,PETER MIELZYNSKI AGENCIES LTD.,SPIRITS -- LIQUEUR,LIQUEUR,CREAM,,22.64,750,17.0,,,0.1,SOUTH AFRICA,
210740,AMARULA CREAM LIQUEUR,PETER MIELZYNSKI AGENCIES LTD.,SPIRITS -- LIQUEUR,LIQUEUR,CREAM,,11.3,375,17.0,,,0.1,SOUTH AFRICA,
