ID,Name,Maker,Category,Sub_Category,Sub_Sub_Category,Sub_Sub_Sub_Category,Cost,Volume(ml),Alcohol_By_Volume,Aroma,Color,Deposit,Origin,Region
711743,'INDIGO WIND' PREMIUM SPARKLING JUNMAI,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,SPARKLING,,8.04,200,6,,,0.1,JAPAN,
794008,'KOME DRY' PREMIUM JAPANESE SAKE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,9.1,300,15,,,0.1,JAPAN,
117432,'KOME DRY' PREMIUM JAPANESE SAKE JUMBO,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,45.86,1800,15.5,,,0.25,JAPAN,
784988,AIZUHOMARE BANSHU YAMADA JUNMAI DAIGINJO,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,98.79,720,16.5,,,0.1,JAPAN,
785079,AIZUHOMARE HONZOJO PREMIUM DRY SAKE,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,268.89,18000,15.5,,,0.25,JAPAN,
785083,AIZUHOMARE HONZOJO PREMIUM DRY SAKE,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,36.88,720,15.4,,,0.1,JAPAN,
784983,AIZUHOMARE JUNMAI DAIGINJO KIWAMI,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,29.89,720,16,,,0.1,JAPAN,
784984,AIZUHOMARE JUNMAI DAIGINJO KIWAMI,SAKE GAMI CORP.,WINE -- SAKE,SAKE,NOT SPARKLING,,58.01,1800,16,,,0.25,JAPAN,
796034,ALA LAO JIU RICE WINE,HI-BRIDGE LIQUOR CONSULTING LTD.,WINE -- SAKE,SAKE,NOT SPARKLING,,6.97,500,10.5,,,0.1,CHINA,
769662,AMANOTO UMASHINE SPECIAL JUNMAI,DELANCEY DIRECT INCORPORATED,WINE -- SAKE,SAKE,NOT SPARKLING,,23.49,720,15.7,,,0.1,JAPAN,
311761,ASAMAI - JUNMAI SAKE AMANOTO,DELANCEY DIRECT INCORPORATED,WINE -- SAKE,SAKE,NOT SPARKLING,,11.64,300,16.5,,,0.1,JAPAN,
588665,ASIAN PEAR MOONSTONE,BLUE NOTE WINE & SPIRITS INC.,WINE -- SAKE,SAKE,NOT SPARKLING,,17.01,750,13.5,,,0.1,UNITED STATES,OREGON
